city,total_customers,high_value_customers,avg_customer_spend,max_customer_spend
Wenzhou,525,1,142.7259049252101,1122.4300003051758
Rio de Janeiro,189,1,144.47613776297797,1043
Xinxiang,60,1,172.34099990924196,1054
Bishop's Stortford,8,1,170.5600018799305,1017.0200119018555
Canberra,36,1,163.55500017934381,1096.1299953460693
Dalian,235,1,133.10582982631456,1236.3299980163574
Ganzhou,66,1,152.44575778643289,1013
Yangsan City,18,1,138.91388975249396,1102.0800094604492
Qiqihar,85,1,143.20694126241355,1235.130012512207
Cascavel,17,1,195.29941157733697,1166.9299983978271
Happy Valley,5,1,382.63000059127808,1016.6500015258789
Seattle,44,1,208.05840947411278,1128
Corbin,4,1,313.41999959945679,1077.2100009918213
Bonn,21,1,197.54904819670176,1240.7800025939941
Yiyang,56,1,159.57946395874023,1066.8499984741211
Belo Horizonte,68,1,176.24117640887985,1084.9400053024292
Daejeon,80,1,142.99999994039544,1144.4399967193604
Birmingham,80,1,150.72962520122525,1141.2399978637695
La Palma del Condado,5,1,290.11400051116942,1184.4899997711182
Coachella,5,1,389.70399932861329,1280
Harbin,315,1,127.12019071276229,1008.2600021362305
Arnas,7,1,294.808572769165,1061.4700012207031
Sevilla,63,1,151.71809577941892,1045.4700050354004
Chuncheon City,20,1,211.51700048446656,1004.3899965286255
Hwaseong City,129,1,147.96000022296766,1045.9499969482422
Maanshan,20,1,138.38649983406066,1142.3499984741211
Chula Vista,22,1,171.06818153641441,1052
Huaibei,62,1,149.07467839025682,1042.940013885498
Daqing,29,1,168.68689663656826,1012.6299934387207
Ubatuba,14,1,168.95785720007757,1001
Arden-Arcade,10,1,255.92800073623656,1015.569995880127
Gwangju,74,1,151.44986518009293,1184.1200008392334
San Sebastián,17,1,158.11117660298066,1053.4400005340576
Santa Clara,18,1,161.23444493611657,1180.560001373291
Saulx-les-Chartreux,3,1,425.31666628519696,1002.9899997711182
Suihua,61,1,160.48213128574557,1082.540002822876
Neijiang,40,1,168.18925069570543,1251.5
Bideford,4,1,417.67750072479248,1209.9800033569336
Londonderry,8,1,353.17625093460077,1268.8099994659424
Londrina,51,1,155.07117647283212,1092.8999977111816
Lexington,30,1,185.82499876022339,1022.9099960327148
Vespasiano,23,1,175.48260862930962,1124.4799976348877
Perris,17,1,219.85823485430546,1077.5099945068359
Yichang,32,1,127.5750002563,1062
Oranienburg,3,1,758.2266674041748,1278.5300025939941
Seogwipo City,17,1,232.31352839750403,1492.9600009918213
Caruaru,20,1,169.55550112724308,1130.9200134277344
Suining,27,1,194.38000025572597,1254.8600025177002
Neuwied,3,1,505.48666826883954,1083.0200042724609
Pyeongtaek City,35,1,163.23628621782578,1196.9400014877319
Napa,10,1,331.4709997177124,1161.8900032043457
Lakeside,8,1,269.04874777793884,1160.3899955749512
Moreno Valley,29,1,160.26827585286108,1033.7299976348877
Stuttgart,34,1,124.84088196473962,1106.4499969482422
Lincoln,25,1,158.54160030364994,1070.0600004196167
Kendale Lakes,7,1,308.4785691670009,1240.5499954223633
Herenthout,2,1,560.23999977111816,1111
Sonoma,8,1,301.02625072002411,1349.9900016784668
Palmer Heights,2,1,506.08499956130981,1002.4699993133545
Williamsport,4,1,319.07499957084656,1044.0799980163574
Laplume,3,1,481.0433349609375,1073.4400072097778
El Prat de Llobregat,8,1,249.24625039100647,1143.9900016784668
Victorville,12,1,258.0616666475932,1066.9399976730347
Seven rivers,12,1,252.58249934514362,1106.8199996948242
Doberschütz,5,1,285.55800075531005,1065.0599985122681
Passaic,9,1,253.09777842627636,1066.4899978637695
Scarsdale,3,1,608.753335316976,1579.4900016784668
Montreuil,11,1,195.8690898201682,1242.3099956512451
Três Pontas,7,1,259.42428725106373,1121.9300022125244
Sunnyvale,13,1,170.24692271305963,1072.939998626709
Nürnberg,22,1,254.04272647337476,1163.9999885559082
Cobatillas,2,1,590.62499904632568,1165.2599983215332
Dezhou,13,1,235.47692262209378,1189.3499984741211
Torquay,8,1,285.24750065803528,1307.7599983215332
Fairfield,20,1,132.18650026321413,1012.9899978637695
Cottonwood,5,1,282.70599975585935,1149.7000007629395
San Sebastián de los Reyes,7,1,495.87428556169789,1568.9999961853027
Citrus Heights,10,1,180.60699958801268,1017.4400005340576
Gosport,8,1,284.65249967575068,1243.4299983978271
Nankin,6,1,226.06833299001062,1011.9899997711182
Barra Bonita,8,1,301.33374953269958,1014.7199974060059
Dillingen/Saar,3,1,389.15666643778485,1027.4899997711182
Rahway,3,1,461.9633324941,1319.8999977111816
Tagnon,1,1,1121.9300003051758,1121.9300003051758
Montclair,5,1,301.91199798583983,1100.4699859619141
Blue Mountains,1,1,1007,1007
Taquara,8,1,253.04250049591064,1108.9700012207031
Koshigaya City,7,1,240.41857201712472,1082.939998626709
Lisle,4,1,428.92000150680542,1186.6400012969971
Caueras,7,1,227.54714230128695,1200
Pace,4,1,406.24500036239624,1137.5
Waltrop,5,1,318.47400016784667,1160.4500007629395
Sint-Agatha-Berchem,2,1,648.7700023651123,1145.5900039672852
Crateús,16,0,167.96687466022564,649.73000335693359
Ningbo,163,0,136.68398783262239,950
Huanggang,22,0,148.25863641043279,474.55000019073486
Montpellier,32,0,144.37375044880906,695.2299964427948
Sioux Falls,11,0,171.91818146441472,585.43000030517578
Xiangtan,33,0,109.81848484819585,449.98000335693359
Itamaraju,11,0,85.73090971599926,221.40999817848206
Coral Springs,15,0,107.76400060653687,257.01000452041626
Forest,9,0,91.194445610046387,309.03000259399414
Barcelona,173,0,147.2887860040444,550.520001411438
Dongguan,757,0,134.44466319676272,950.520001411438
Lufkin,8,0,115.52874994277954,271.21999740600586
Huzhou,44,0,147.25500065630135,451.489990234375
Corpus Christi,30,0,140.89600014686582,481.08000183105469
Salton City,3,0,183.21999613444009,301.65998840332031
Morgantown,5,0,129.096000289917,378.5
Quixeramobim,17,0,143.82294142947478,405.94999694824219
Salem,30,0,151.21666689713797,423.92999839782715
Albuquerque,62,0,123.12967780713113,507.9900016784668
Macaé,22,0,96.947273156859652,478.48999786376953
Yongin City,172,0,143.89581392948023,912.15001010894775
Chandler,21,0,121.00952415239244,527.79001235961914
Granollers,3,0,11.486666599909464,19.989999771118164
Brasília,318,0,132.16433972082802,656.07000160217285
Suzhou,516,0,144.7968218844068,923.37000465393066
Marguerittes,2,0,199.13500040769577,229.27000081539154
Monte Santo,10,0,100.37999995946885,225.5
Hanau,3,0,117.93666565418243,124.46999931335449
Hengyang,93,0,159.0377423865821,773.93000030517578
NanNing,184,0,128.53472860870147,649.82000255584717
Changchun,258,0,134.24108548589453,797.489990234375
Boise,22,0,125.15181837298651,614.85000228881836
Xingtai,206,0,139.61524299626203,903
Grand Blanc Township,8,0,167.84375002980232,772.59000015258789
Kitakyushu City,9,0,107.1222230328454,331.5
Wuzhong,25,0,84.494799909591663,414.760000705719
Weihai,64,0,113.21812480315567,398
Recklinghausen,3,0,97.53333322207132,149
Riverview,7,0,80.837143932070049,194.57000732421875
Daegu Metropolitan City,189,0,136.99566152612996,812
Zhuzhou,65,0,143.30923100251414,622.41999864578247
Armação dos Búzios,7,0,71.704285553523476,128.13999938964844
Fuyang,107,0,135.36018725199116,826.620002746582
Billinghay,5,0,118.48400011062623,344.45000076293945
Gilroy,6,0,86.29833324750264,166.4900016784668
Hazleton,3,0,77.316665808359772,126.98999786376952
Machida City,31,0,129.0712913005583,393.55000495910645
Liverpool,25,0,126.93120033264159,316.7299976348877
Évellys,1,0,2.5899999141693115,2.5899999141693115
San Marcos,18,0,158.4500000079473,403.44000244140625
Mantua,4,0,89.359999358654022,172.98999786376953
Porto Alegre,75,0,127.66773297309874,752.21999073028564
St. Peters,10,0,125.66699981689453,465.060001373291
Taizhou,213,0,138.45868531750961,789.05000114440918
Curitiba,207,0,121.25357503591526,668.39000129699707
Hartlepool,5,0,73.439999961853033,111.80999755859375
Overland Park,11,0,87.959091446616441,267.97999954223633
Zhanjiang,87,0,164.94218461266883,708.5099983215332
Raleigh,48,0,151.70166629552841,444.68999481201172
Xinyang,18,0,175.00499958462186,430.67000007629395
Great Sandy Strait,3,0,328.4000027974447,678.19000816345215
Tianjin,593,0,136.65347393407382,937.91000366210938
Gevelsberg,3,0,65.910000244776413,122.30000042915344
Kenosha,7,0,128.51857134274076,331.94999694824219
Santa Clarita,24,0,103.53083303570749,458.76999020576477
Mönchengladbach,7,0,260.49428738866533,482.32000279426575
Kashgar area,25,0,125.22800032615659,674.87000465393066
La Seyne-sur-Mer,7,0,82.5628581387656,226.90000534057617
Stadtallendorf,1,0,147.79999995231628,147.79999995231628
Monzalbarba,1,0,100.29999995231628,100.29999995231628
McMinnville,5,0,126.40799956321716,227.98999977111816
Nanjing,399,0,127.24320823506902,724.74000263214111
Mokpo City,13,0,153.30307690913864,426.64000129699707
Pleasant Hill,4,0,42.280000030994415,83.25
Xuzhou,79,0,129.8618982864331,580.58000087738037
Xiamen,320,0,137.54081275910139,940
Bernes-sur-Oise,2,0,52.470000863075256,71.950000047683716
Goodyear,12,0,123.6924991806348,349.93999099731445
Tacheng area,50,0,154.79480032444,603.939998626709
Shan Tou,327,0,125.08006139414024,610.80999374389648
Xiaogan,62,0,116.295000026303,415.22000122070312
Roseville,29,0,148.10586247773006,531.49999809265137
Caldwell,5,0,60.19999995231629,125
Marysville,10,0,134.83600027561187,466.28999900817871
Kerrville,4,0,238.32999926805496,593.5
Tramandaí,10,0,113.13100082874297,175.59999847412109
Kaprijke,3,0,171.64999874432883,290.55999755859375
Ibiúna,13,0,83.89999956351059,290.57999610900879
Saint-Nazaire,11,0,99.095454389398753,222
Dazhou,62,0,132.69709676696408,975.25
Yokohama City,186,0,129.59510756948947,957.58999633789062
Maoming,118,0,144.67423751192578,787.18000221252441
Zhangjiakou,75,0,159.10399989763894,788.430004119873
Campo Formoso,11,0,133.54999995231626,397.80999851226807
Rancho Cordova,4,0,205.80250054597855,579.90000152587891
Itabaiana,16,0,107.072500243783,325.68000221252441
Tuscaloosa,12,0,105.48583350578943,280
Osan City,15,0,163.69666755994157,994.93999671936035
North Haledon,4,0,74.625000774860382,188.30000305175781
Cuiabá,32,0,78.0787502899766,294.75000190734863
Sint-Niklaas,6,0,83.554999868075043,178.06999969482422
Rosenberg,4,0,120.57750016450882,260.54999923706055
Niterói,55,0,118.46254570267419,399.6400032043457
Divinópolis,43,0,100.46930253782936,296.9900016784668
Voorhees Township,3,0,100.0066659450531,250.1399986743927
Mairena del Aljarafe,3,0,42.3766667842865,54.680000305175774
Luton,10,0,160.63200018405914,475.46999359130859
Woodstock,20,0,142.27150026559826,678.45000076293945
North New Hyde Park,4,0,297.29750090837479,609.14999961853027
Barcarena,33,0,93.0918183254473,493.5
Torrance,6,0,95.576667666435242,374.5
Middletown Township,2,0,111.19999849796295,212.3999969959259
Böblingen,5,0,203.45399842262267,417.81999325752258
South Elmsall,3,0,241.5099977652232,533.879994392395
Pingliang,17,0,130.918823817197,366.78000068664551
Viersen,10,0,209.28400051593781,815.5200023651123
São Sebastião,22,0,113.17409100315787,364.81999778747559
Qinhuangdao,53,0,127.6918869423417,559.17000961303711
Cardiff,33,0,123.75000003612404,543.28000068664551
Coria,1,0,29.700000047683716,29.700000047683716
Brumath,3,0,54.233333349227905,90
Zhongwei,36,0,119.86583332882988,628.16999816894531
Shadeland,4,0,190.00999957323074,537.08999824523926
Zhangzhou,325,0,132.67800021831803,964.77999877929688
Entre Rios,9,0,145.47777628898621,505.08998870849609
East Haven,5,0,201.811998796463,378.86999702453613
San Martín de la Vega,3,0,120.69000315666199,308.5200080871582
Tostedt,2,0,73.004999995231628,91.139999151229858
Santana do Ipanema,5,0,115.57400012016295,245.93999481201172
Davison,2,0,84.239999890327454,143.49000000953674
União,4,0,120.66249948740005,239.35999894142151
Jiaozuo,52,0,149.600000165976,558.489990234375
Winter Park,5,0,130.19000058174134,215.6299991607666
Simi Valley,11,0,195.07363581657413,664.90999603271484
Osaka City,59,0,127.41288142285103,898
Bishop Auckland,9,0,109.24333257145352,294.97999572753906
Camarillo,11,0,115.96272817524998,318.20000076293945
Los Angeles,288,0,135.39944455524272,704.27999877929688
Kendal,4,0,159.95750051736832,529.39999961853027
Hangzhou,442,0,143.6703848089029,839.96999740600586
Cheonan City,51,0,128.58470586234446,470.53000164031982
Baoding,256,0,141.67011747322974,830.42999267578125
Ponferrada,3,0,279.58000000317895,478.439998626709
Frutal,8,0,250.81749942898747,967.5
Wuxi,126,0,138.94269848059091,948.5
Great Falls,5,0,241.82799859046935,376.2399959564209
Manaus,281,0,127.03505345680533,783.69000434875488
Pamplona,16,0,122.22499980032445,528.97999978065491
Imbituba,8,0,184.96750047802925,392.939998626709
Xuchang,38,0,135.39315766409825,656.73999786376953
Waco,9,0,89.019999742507935,219.3000020980835
Urbanización Roche Alto,3,0,147.38333360354108,321.99000000953674
Villedômer,1,0,50.98000168800354,50.98000168800354
Cournon-d'Auvergne,3,0,106.73000184694926,235.55000519752502
Nagano city,3,0,212.66333421071371,232.32000207901
Benevides,18,0,91.063332835833236,521.93999481201172
Artur Nogueira,8,0,203.99749949574471,903
Hobart,16,0,137.6593745499849,383.27000069618225
Santa Bárbara D'Oeste,13,0,158.63000026116006,995.79999923706055
Buckingham,12,0,96.164166768391937,296
Sandy,10,0,135.66700026988985,338.4900016784668
Pedro II,8,0,103.90749999880789,322.069997549057
Fortaleza,204,0,135.84328450992993,584.96999740600586
Pike Creek,3,0,177.49000064531961,401.93000221252441
Vélizy-Villacoublay,2,0,78.12499988079071,146.24999976158142
Nixa,5,0,240.61200013160706,518.98999786376953
Kearny,2,0,106.0249992609024,171.94999694824219
McKinney,23,0,212.2804349920024,881.98999786376953
Florissant,8,0,140.74375084042549,340.55000114440918
Tangshan,133,0,141.87699253935557,903
Austin,81,0,120.99320995071791,430.22000885009766
Leuven,10,0,135.77000007629394,409.9799976348877
Quanzhou,179,0,150.76586595194294,894.95001220703125
Madisonville,1,0,11.159999847412109,11.159999847412109
Avileses,2,0,118.56000328063965,159.1300048828125
Middletown,20,0,181.91749937534337,605.29999351501465
Lardero,1,0,174.10999870300293,174.10999870300293
Park Gate,7,0,87.907144137791235,146.3900032043457
Wervik,8,0,98.1774994134903,223.98999977111816
Colniza,7,0,69.035713468279155,159.93999481201172
Pittsburg,12,0,121.78916766246159,300.63000869750977
Calumet City,4,0,48.019999325275421,102.9799976348877
Ansan City,70,0,144.61500019686559,925.90000152587891
Ibirité,27,0,131.6537039456544,684.86000370979309
Nanchang,163,0,143.95024536138661,858.25
Portel,7,0,162.81428623199463,385.46000289916992
Westland,8,0,172.31499874591827,403.2299976348877
Onda,2,0,155.49499797821045,211.86999893188477
Sayama City,8,0,198.3112496137619,556.34999942779541
Fenouillet,1,0,3.25,3.25
Lagoa Santa,21,0,200.02000000363304,950.27000045776367
Taquaritinga,10,0,166.63800094127657,427.08000493049622
Tielt,4,0,100.45250159502029,134.99000549316406
Rockwall,12,0,67.378333191076919,208.1200008392334
Columbia,61,0,154.00672126598047,903
Olot,4,0,32.692500114440918,53.529999732971191
Mesa,57,0,125.73526390811851,479.45001220703125
Dry Run,4,0,60.2674994468689,99.879997253417969
Bad Oldesloe,3,0,182.23000113169351,397.99000549316406
Yangju City,27,0,126.33555599495216,410.03000068664551
Bruchköbel,1,0,204.94000148773193,204.94000148773193
Ramona,5,0,171.1040004730225,443.56000423431396
Marion,12,0,213.03416689236957,609.47000122070312
Lagoinha,11,0,147.81909092989835,303.0600004196167
Colônia Boa Vista,20,0,177.0390001296997,469.99000549316406
Ozark,3,0,126.9399999777476,311.33000016212463
Elkhart,12,0,67.742499570051834,189.48999977111816
Nancy,12,0,116.00083357095718,250.90000152587891
Paracatu,10,0,126.33999993801118,410.18000030517578
Luoyang,94,0,146.80053166379312,967.07999706268311
Fontana,19,0,99.6794741655651,264
Terrassa,28,0,159.83464284454075,458.69999885559082
Chongqing,418,0,131.71681833210181,792.569995880127
Mata de São João,11,0,128.85454459623858,322.52999114990234
La Verne,5,0,167.20600004196166,299
Zhuhai,57,0,157.45807054586581,534
Yanbian Korean Autonomous Prefecture,53,0,140.77226429165535,601.980001449585
Durham,37,0,136.40540566315519,839.27999877929688
Kaifeng,67,0,130.20074656472283,579.9900016784668
Elk Plain,5,0,160.16999988555909,253
Alicante (Alacant),17,0,144.05882350136253,570.420000076294
Shafter,4,0,149.09749674797058,259.989990234375
Zwickau,4,0,235.77499783039093,509.45999765396118
Hayward,23,0,135.93869567954022,434.96999549865723
Copper City,31,0,141.60774152509632,722
Rennes,20,0,83.89899907112121,397.59999752044678
Mudanjiang,34,0,134.01941234925212,932.33999824523926
Fukuoka City,25,0,146.48840034484866,795.97999954223633
Hambledon,6,0,92.578332901000977,164.42000198364258
Rutherglen,3,0,81.813334147135421,99.960000991821289
Anyang City,82,0,166.35475609942179,930.98999977111816
Jiujiang,28,0,110.95535693849835,509.69999694824219
Aguaí,7,0,74.675714765276226,261.40000152587891
Arujá,15,0,233.61600151062015,815.71001148223877
Jinhua,135,0,127.49192618264097,670.97999000549316
Anderlecht,11,0,129.65909082239321,389.14999961853027
Escondido,14,0,114.72285739013128,372.47000122070312
Prescott Valley,7,0,125.98000090462823,388.5
Pithiviers-le-Vieil,2,0,139.44500017166138,170.9399995803833
San Diego,110,0,143.47236394015221,664.46999359130859
Horsham,9,0,271.71555508507629,944.25000190734863
Nagold,2,0,495.73499965667725,923.47999954223633
Moussy-le-Neuf,7,0,72.20857170649937,275.45000076293945
Pomona,14,0,133.47214365005493,471.66000175476074
Miami Gardens,12,0,139.43749992052716,474.58999633789062
Ordos,77,0,112.74350658020414,686.46000385284424
Anqing,29,0,115.95620734116125,625.98999977111816
Washington,47,0,110.45574475349268,398.53000259399414
Schorndorf,4,0,210.79500079154968,512.47999954223633
Siheung City,51,0,136.20784280814379,577.91000366210938
Araraquara,7,0,99.942857129233232,373.47999715805054
Ruston,4,0,111.67250049114227,334.07000303268433
Santa Isabel do Pará,14,0,115.83285750661577,380.40000677108765
Noyal-Châtillon-sur-Seiche,4,0,125.72000062465668,199.9900016784668
Weifang,68,0,147.28823602199554,669.46999549865723
Mornington,3,0,75.859999656677246,121.65999984741211
Hebi,40,0,168.92924947738655,700.22000312805176
Portsmouth,16,0,191.95625104010105,656
Itapema,13,0,138.6292300774501,483.85999298095703
Webster Groves,5,0,112.28800015449524,292
Pinheiro,16,0,116.23312504589556,497.48999977111816
Vidor,5,0,142.19999947547913,270.36999893188477
North Port,11,0,74.6299992691387,134.93999671936035
Ludwigshafen am Rhein,12,0,182.15833473205566,528.640007019043
Linyi,104,0,122.06548091769223,557.310001373291
Praia Grande,56,0,166.93285717708724,589.45000076293945
Suqian,36,0,114.51250062386195,398.82000350952148
Suwon City,124,0,125.63008104793485,820
Itabirito,9,0,108.95555583635966,249.03000020980835
Liaoyang,61,0,116.88377025870024,944.87998580932617
Bayannre,16,0,109.23499958217144,355.64999771118164
Sanford,13,0,170.04307548816388,551.86999893188477
Köln,60,0,125.99999992450081,631.98999881744385
Margate,12,0,146.77750031153363,493.79000186920166
Grapevine,8,0,40.43749988079071,140
Yuxi,10,0,105.12400002479554,406.939998626709
Philadelphia,120,0,152.3259163419406,903
Zhaotong,32,0,154.29593855142593,598.13001441955566
Jinan,228,0,143.07504383304658,960.86000061035156
Hegang,17,0,88.868823416092809,327.89999961853027
Paris,214,0,134.97785071012021,583
Moissy-Cramayel,2,0,219.31000101566315,315.85000157356262
Burlington,22,0,105.34772722287612,431.87999725341797
Hillsborough,12,0,125.02499971787137,303.39999771118164
Hohhot,165,0,115.54078811298717,572.97000885009766
Fairview,10,0,126.29100010395049,375.91999626159668
Paraíso do Tocantins,8,0,146.39500179886818,449
Carrollton,15,0,184.63266641298932,637.32000160217285
Huntington Beach,17,0,146.85000112477471,517.430004119873
Farroupilha,13,0,154.71692281502942,469.43999481201172
Kawasaki City,77,0,154.82792285510467,899.579999923706
Santana do Paraíso,8,0,176.21000030636787,591.069995880127
Marbella,9,0,152.99777743551465,476.65999794006348
Queimadas,11,0,176.51999935236844,391.10000038146973
Easton,8,0,107.42625012993813,339.19000172615051
Menlo Park,5,0,126.9660002231598,282.90000152587891
Meckenheim,4,0,23.222499907016754,52.950000047683716
Plano,38,0,143.79315743320868,639.07999610900879
West Orange,4,0,153.14750009775162,310.88999485969543
Rolândia,11,0,137.24000057307157,495.98999977111816
Southall,5,0,113.76800026893616,296
Hino city,10,0,186.50099966526031,598
Tama City,10,0,115.11599962711334,357.97000312805176
Baotou,148,0,149.28932447207947,983.51000022888184
Apopka,11,0,120.99272652105851,294
Lubbock,9,0,205.568889008628,894.5
Jesús Pobre,1,0,180.87999844551086,180.87999844551086
San Antonio,159,0,141.28157235841337,734.36000442504883
Walton-le-Dale,4,0,115.16000187397003,199.03000259399414
Vigia,15,0,160.51933418909707,394.72000885009766
Grand Haven,7,0,214.32857356752669,353.46000337600708
Bai Mountain,20,0,133.38999922275545,426.4799976348877
Phoenix,143,0,131.13755265315933,503.94999694824219
Nanyang,59,0,122.50474545915252,468.97000122070312
Adelaide,77,0,155.61558456544753,750
Tarazona,1,0,498.92999863624573,498.92999863624573
Mianyang,23,0,185.37565141138825,711.72999954223633
Valença,25,0,111.41160008430481,367
Gwangmyeong City,48,0,121.60062467555204,590.94000244140625
Burgos,14,0,141.07214333329881,404.5100040435791
Pensacola,2,0,6.3150001764297494,8.6400003433227557
Elmwood Park,6,0,208.47333657741544,639.90001106262207
Haikou,123,0,119.88235787259855,651.96999955177307
Bentonville,4,0,121.41500049829483,156.72000122070312
Port Charlotte,4,0,88.622499048709869,139
Lawrence,15,0,96.383999967575079,475.55000114440918
Anyang,96,0,125.36739567667244,522.17000389099121
Xuancheng,36,0,126.87666663196352,368.34000396728516
Tessenderlo,2,0,83.444999814033508,136.89999985694885
Maplewood,10,0,169.20300133228304,502.41000938415527
Urumqi,186,0,147.76510770987437,963
Wiesbaden,15,0,134.37733314832047,359.23999786376953
Campo Bom,27,0,180.62370325900892,874.5
Brumado,10,0,138.16499989032749,391.11999702453613
Fort Smith,4,0,106.24250036478043,321.9900016784668
Bangor,3,0,189.6966687043508,371.10999894142151
Wakefield,14,0,128.83285748958588,513.61000156402588
Sheffield,37,0,125.63297311035362,523.94000244140625
Friedberg (Hessen),2,0,216.16500198841095,395.34000420570374
Jining,38,0,139.93947436307607,711.83000373840332
Iguatu,26,0,123.9611539198802,530.46999931335449
Thonotosassa,1,0,246.930002450943,246.930002450943
Ezhou,13,0,165.08153880559482,620.81000709533691
Sankt Ingbert,3,0,77.206666072209671,143.67000126838684
Jennings,2,0,250.10500156879425,253.15000367164612
Januária,11,0,136.98272785273463,509.67000222206116
Ulsan Metropolitan City,55,0,122.83436336083844,524.6100025177002
Changsha,190,0,127.74957910964366,840
Corona,20,0,129.43149996995928,429
Vila Velha,47,0,100.93680863177524,281.97999954223633
Highnam,5,0,69.596000337600714,148.25
Florin,9,0,163.17111017968918,345.93999481201172
Liuzhou,83,0,137.59927736707482,644.75
Norman,7,0,115.97285655566624,256.98999977111816
Urbandale,5,0,149.1820026874542,346.94001388549805
Lons,2,0,20.370000004768372,36.75
Perpignan,11,0,130.96090813116595,499.7499897480011
Schaerbeek,11,0,127.1454549485987,462.310001373291
Rochester,32,0,189.29187505692246,831.91999816894531
Santo Estêvão,14,0,214.369999561991,884.41999626159668
Lanchester,7,0,84.448571511677343,179.32999897003174
München,94,0,138.82968101856559,962.39000034332275
Moju,22,0,120.97454522956501,516.920000076294
Cottenham,2,0,108.69499981403351,169.9700014591217
Pará de Minas,18,0,111.55111171139612,471.49000549316406
Sydney,286,0,134.3680769655254,820
Shoreline,7,0,71.062857457569677,116.32999992370605
Madison,20,0,166.98750015497208,648.96999359130859
Huainan,53,0,132.63075493416693,884.480001449585
Duque de Caxias,126,0,136.06825402994008,566.29000091552734
Canoinhas,11,0,135.61090887676585,470.72999954223633
Heze,41,0,148.67146332670995,620.15999794006348
Tachikawa City,17,0,120.88470660938935,495.76000213623047
Zunyi,40,0,120.3924999833107,428.35000324249268
South Bend,6,0,103.21166642506917,291.06999969482422
Seraing,6,0,88.87999963760376,216.20999908447266
Castelnaudary,1,0,11.210000038146973,11.210000038146973
São Luís,221,0,123.66280543210816,862.92000579833984
Gerlingen,2,0,49.005000114440918,94
Cametá,27,0,170.05296230316159,690.25999450683594
Enterprise,4,0,51.9275004863739,60.290000915527344
Valinhos,25,0,120.47200088500978,475.51001167297363
Ditzingen,2,0,124.760000705719,188.53000164031982
Lafayette,23,0,146.80086948560634,496.53999900817871
Saugus,2,0,84.8100004196167,148.55000114440918
Neu-Isenburg,5,0,163.69800128936768,266.48000717163086
Lancaster,49,0,121.56408154234595,378.89999389648438
Corvallis,3,0,103.90333366394043,228.98999977111816
Vienna,2,0,95.545000791549683,134.09999990463257
Lakewood,23,0,115.12434791482013,310
Norwich,15,0,118.63200019200642,303.07999801635742
Jiaxing,90,0,142.9065558698442,681.5
Yichun,91,0,128.43879134838397,679.960000038147
Louisville,49,0,110.02714338107982,485.4900016784668
Canton,11,0,85.36545528065075,168.63000297546387
Mint Hill,3,0,230.99999904632568,558.06999492645264
Villanueva de Córdoba,1,0,4.1500000953674316,4.1500000953674316
Highland Park,6,0,88.798334201176971,223.97000551223755
Plainfield,15,0,122.7726669629415,452.94999694824219
Namyangju City,97,0,123.75546428837724,489.90999221801758
Barra,9,0,191.16111040115356,530
